mjd,rh,delta,alpha,aper_arcsec,mag,mag_err,filter
59780.573058,2.111,2.553,22.73,5.39,17.87,0.105,o
59780.57853,2.111,2.553,22.731,5.39,18.053,0.121,o
59780.595487,2.111,2.553,22.734,5.39,17.996,0.114,o
59780.602327,2.111,2.553,22.735,5.39,17.906,0.129,o
59791.584727,2.069,2.422,24.554,5.68,17.808,0.071,o
59791.591136,2.069,2.422,24.555,5.68,17.713,0.065,o
59791.59479,2.069,2.422,24.556,5.68,17.935,0.079,o
59791.610469,2.069,2.421,24.558,5.68,17.706,0.128,o
59793.578105,2.061,2.398,24.872,5.74,17.985,0.071,c
59793.581736,2.061,2.398,24.872,5.74,18.024,0.073,c
59793.600317,2.061,2.398,24.875,5.74,17.979,0.069,c
59793.61168,2.061,2.397,24.877,5.74,18.182,0.126,c
59803.356837,2.026,2.281,26.37,6.03,16.931,0.088,o
59803.361797,2.026,2.281,26.371,6.03,17.205,0.111,o
59804.577053,2.022,2.267,26.55,6.07,17.52,0.086,o
59804.58398,2.022,2.267,26.551,6.07,17.445,0.078,o
59804.602151,2.022,2.267,26.553,6.07,17.418,0.073,o
59804.610401,2.022,2.266,26.555,6.07,17.454,0.082,o
59806.595795,2.015,2.243,26.843,6.14,17.311,0.067,o
59806.601157,2.015,2.243,26.844,6.14,17.322,0.067,o
59806.612329,2.015,2.243,26.846,6.14,17.315,0.076,o
59806.61414,2.015,2.243,26.846,6.14,17.22,0.075,o
59807.584549,2.012,2.231,26.985,6.17,17.308,0.067,o
59807.607257,2.012,2.231,26.988,6.17,17.294,0.066,o
59807.611373,2.012,2.231,26.989,6.17,17.494,0.102,o
59809.584958,2.005,2.208,27.269,6.23,17.234,0.061,o
59809.589027,2.005,2.208,27.269,6.23,17.236,0.06,o
59809.605145,2.005,2.207,27.272,6.24,17.072,0.051,o
59809.61567,2.005,2.207,27.273,6.24,17.184,0.073,o
59820.582733,1.97,2.079,28.734,6.62,16.952,0.035,o
59820.601049,1.97,2.078,28.736,6.62,17.004,0.035,o
59820.611335,1.97,2.078,28.737,6.62,17.032,0.038,o
59820.615468,1.97,2.078,28.738,6.62,16.932,0.039,o
59822.602056,1.964,2.055,28.983,6.7,17.138,0.037,c
59822.606139,1.964,2.055,28.984,6.7,17.247,0.039,c
59822.612978,1.964,2.055,28.985,6.7,17.091,0.037,c
59822.618061,1.964,2.055,28.985,6.7,17.106,0.041,c
59827.592632,1.949,1.997,29.573,6.89,16.872,0.035,o
59827.595363,1.949,1.997,29.573,6.89,16.823,0.033,o
59827.617265,1.949,1.997,29.575,6.89,16.904,0.039,o
59827.625622,1.949,1.997,29.576,6.89,16.907,0.082,o
59828.586256,1.947,1.986,29.685,6.93,16.945,0.038,o
59828.589466,1.947,1.986,29.685,6.93,16.863,0.036,o
59828.605526,1.947,1.986,29.687,6.93,16.755,0.032,o
59828.615369,1.947,1.986,29.688,6.93,16.751,0.033,o
59829.103461,1.945,1.98,29.743,6.95,16.601,0.04,o
59829.113763,1.945,1.98,29.744,6.95,16.648,0.037,o
59829.129519,1.945,1.98,29.746,6.95,16.691,0.037,o
59829.138864,1.945,1.98,29.747,6.95,16.695,0.045,o
59831.570065,1.938,1.952,30.012,7.05,16.845,0.054,o
59831.57289,1.938,1.952,30.012,7.05,16.715,0.048,o
59831.57855,1.938,1.952,30.013,7.05,16.877,0.053,o
59831.597288,1.938,1.952,30.015,7.05,16.676,0.042,o
59832.548373,1.936,1.941,30.116,7.09,17.026,0.079,o
59832.556298,1.936,1.941,30.117,7.09,16.294,0.042,o
59832.563987,1.936,1.941,30.118,7.09,16.669,0.056,o
59833.07859,1.934,1.935,30.172,7.11,16.722,0.088,o
59833.081746,1.934,1.935,30.172,7.11,16.886,0.1,o
59833.086303,1.934,1.935,30.173,7.11,16.747,0.085,o
59833.099017,1.934,1.935,30.174,7.11,16.926,0.238,o
59835.597188,1.927,1.906,30.429,7.22,16.529,0.037,o
59835.601343,1.927,1.906,30.429,7.22,16.629,0.039,o
59835.607341,1.927,1.906,30.43,7.22,16.594,0.038,o
59835.619108,1.927,1.906,30.431,7.22,16.557,0.04,o
59836.542198,1.925,1.896,30.522,7.26,16.475,0.04,o
59836.547396,1.925,1.896,30.523,7.26,16.449,0.039,o
59836.550167,1.925,1.896,30.523,7.26,16.438,0.037,o
59836.56064,1.925,1.895,30.524,7.26,16.529,0.039,o
59837.603442,1.922,1.884,30.625,7.31,16.383,0.036,o
59837.619255,1.922,1.883,30.627,7.31,16.383,0.036,o
59837.627479,1.922,1.883,30.628,7.31,16.373,0.048,o
59838.588106,1.92,1.873,30.719,7.35,16.368,0.034,o
59838.592655,1.92,1.873,30.719,7.35,16.373,0.034,o
59838.613453,1.92,1.872,30.721,7.35,16.295,0.031,o
59847.59089,1.898,1.773,31.478,7.77,16.201,0.02,c
59847.594128,1.898,1.773,31.479,7.77,16.183,0.024,c
