row,mjd,rh,delta,alpha,aper_arcsec,mag,mag_err,query_datetime
0,59490.31583329989,1.970371548357,1.0134236900083,11.8723,0,19.864164,0.17991276,2024-09-27 14:12:14
1,59488.25335650006,1.967005572733,1.00155743149683,10.8361,0,19.659512,0.10109445,2024-09-27 14:12:14
2,59474.34114579996,1.947080199142,0.94485797738774,3.2009,0,19.054775,0.12988262,2024-09-27 14:12:14
3,59471.27204860002,1.943354927945,0.93801627718746,1.4711,0,19.176752,0.15287142,2024-09-27 14:12:14
4,59471.23035879992,1.943306031344,0.93794147497009,1.4485,0,18.623318,0.10426786,2024-09-27 14:12:14
5,59469.35703699989,1.941156367057,0.9348098957621,0.6533,0,18.501501,0.075291,2024-09-27 14:12:14
6,59469.34832180012,1.941146583878,0.93479681436696,0.6518,0,18.911406,0.09497602000000001,2024-09-27 14:12:14
7,59467.35729169985,1.938964633024,0.93233849465834,1.1755,0,18.687168,0.07629116,2024-09-27 14:12:14
8,59467.22762730019,1.938826208677,0.93221562776292,1.2435,0,18.987762,0.09405021,2024-09-27 14:12:14
9,59465.333495399915,1.936855551015,0.93074943709938,2.2921,0,19.030363,0.09059605,2024-09-27 14:12:14
10,59464.39388890006,1.935913824285,0.93032535370723,2.835,0,18.710022,0.09305669,2024-09-27 14:12:14
11,59464.264594899956,1.935786104604,0.93028367937197,2.912,0,19.20782,0.084413126,2024-09-27 14:12:14
12,59460.35333329998,1.932136914822,0.93071876156726,5.2021,0,18.860472,0.10169137,2024-09-27 14:12:14
13,59458.33880789997,1.9304202858,0.93224756646945,6.3773,0,18.898771,0.07303517,2024-09-27 14:12:14
14,59458.28869209997,1.930379000495,0.9322996960348,6.4071,0,19.444452,0.1088932,2024-09-27 14:12:14
15,59454.33896989981,1.927343072943,0.93783559829982,8.6737,0,19.21985,0.08823039,2024-09-27 14:12:14
16,59452.3387616002,1.925970494678,0.94186908332384,9.7968,0,19.505854,0.14767116,2024-09-27 14:12:14
17,59444.42498840019,1.921636996902,0.96549360786009,14.0181,0,19.845139,0.19279723,2024-09-27 14:12:14
18,59442.332071799785,1.920785759928,0.97369198361001,15.0667,0,19.932144,0.17170489,2024-09-27 14:12:14
19,59436.420648099855,1.919052116753,1.00093799238642,17.8445,0,20.265198,0.18198422,2024-09-27 14:12:14
20,59434.42063659988,1.918690523489,1.01145884032334,18.7206,0,20.555906,0.19932173,2024-09-27 14:12:14
21,59434.37319440022,1.918683329609,1.01171794281102,18.7416,0,19.84686,0.119790345,2024-09-27 14:12:14
22,59428.46372690005,1.918289132348,1.04636619200424,21.1282,0,20.066793,0.17044808,2024-09-27 14:12:14
