mjd,rh,delta,alpha,aper_arcsec,mag,mag_err,filter
58316.4396,2.088,1.535,27.55,5,19.2,0.11,r
58316.4791,2.088,1.534,27.55,5,19.67,0.14,g
58319.44133,2.063,1.482,27.58,5,19.56,0.15,g
58319.48157,2.063,1.481,27.58,5,19.17,0.13,r
58322.44048,2.038,1.43,27.58,5,19.65,0.12,g
58325.44063,2.013,1.378,27.54,5,19.27,0.09,g
58325.48044,2.013,1.378,27.54,5,18.87,0.07,r
58327.43898,1.997,1.344,27.5,5,19.38,0.1,g
58327.48113,1.996,1.344,27.5,5,18.77,0.07,r
58337.41909,1.912,1.182,27.1,5,18.1,0.11,i
58337.45918,1.912,1.181,27.1,5,18.72,0.15,g
58337.48513,1.912,1.181,27.09,5,18.18,0.09,r
58349.37935,1.81,1.001,26.17,5,17.36,0.03,r
58349.41736,1.81,1.001,26.16,5,17.92,0.04,g
58351.39365,1.793,0.973,25.97,5,17.2,0.04,i
58351.3941,1.793,0.973,25.97,5,17.22,0.04,i
58352.37786,1.785,0.959,25.87,5,17.89,0.05,g
58352.37834,1.785,0.959,25.87,5,17.9,0.05,g
58352.41696,1.784,0.958,25.86,5,17.36,0.03,r
58355.42633,1.758,0.917,25.54,5,17.72,0.03,g
58355.50206,1.758,0.916,25.54,5,17.25,0.03,r
58358.34937,1.733,0.878,25.22,5,17.18,0.05,r
58360.41335,1.716,0.851,24.99,5,17.1,0.05,r
58361.39639,1.707,0.838,24.88,5,17.04,0.05,r
58361.46169,1.707,0.837,24.87,5,17.04,0.04,r
58364.48235,1.681,0.8,24.53,5,16.88,0.04,r
58366.42584,1.664,0.776,24.31,5,16.79,0.04,r
58367.39785,1.656,0.764,24.21,5,17.22,0.05,g
58367.43848,1.656,0.764,24.2,5,16.72,0.03,r
58370.3758,1.631,0.729,23.9,5,16.61,0.03,r
58370.43264,1.63,0.729,23.9,5,17.09,0.03,g
58373.39733,1.605,0.695,23.63,5,16.46,0.03,r
58373.45721,1.604,0.694,23.62,5,16.98,0.04,g
58376.35839,1.58,0.663,23.41,5,16.21,0.03,r
58376.4158,1.579,0.662,23.4,5,16.82,0.05,g
58378.37574,1.563,0.641,23.29,5,16.14,0.03,r
58378.39794,1.563,0.641,23.29,5,16.59,0.03,g
58381.35535,1.538,0.611,23.2,5,16.46,0.03,g
58381.39879,1.538,0.611,23.2,5,15.96,0.03,r
58384.35486,1.513,0.582,23.2,5,16.29,0.04,g
58384.40904,1.512,0.581,23.2,5,16.26,0.04,g
58384.41879,1.512,0.581,23.2,5,15.79,0.03,r
58387.37637,1.488,0.554,23.31,5,15.64,0.04,r
58387.43491,1.487,0.553,23.32,5,16.13,0.04,g
58388.41976,1.479,0.544,23.39,5,16.09,0.05,g
58388.42021,1.479,0.544,23.39,5,16.04,0.05,g
58390.40459,1.463,0.526,23.57,5,15.43,0.04,r
58390.46049,1.463,0.526,23.58,5,15.99,0.05,g
58391.41643,1.455,0.518,23.69,5,13.94,0.05,i
58393.37675,1.439,0.501,23.97,5,15.3,0.05,g
58401.33683,1.376,0.438,25.8,5,15.32,0.04,g
58401.41625,1.375,0.437,25.83,5,14.84,0.03,r
58460.21883,1.062,0.107,42.29,5,12.01,0.03,r
58460.25331,1.062,0.107,42.25,5,12,0.03,r
58466.25894,1.056,0.086,32.97,5,11.96,0.04,g
58468.24102,1.055,0.082,28.76,5,11.48,0.04,g
58468.27365,1.055,0.082,28.68,5,11.01,0.02,r
58472.27419,1.056,0.077,20.52,5,10.96,0.02,r
58475.19706,1.059,0.079,18.06,5,11.08,0.04,r
58475.20596,1.059,0.079,18.06,5,11.04,0.04,r
58475.20642,1.059,0.079,18.06,5,11.07,0.03,r
58475.25646,1.059,0.079,18.06,5,11.03,0.04,r
58477.34388,1.062,0.083,19.13,5,11.16,0.04,r
58478.11169,1.063,0.085,19.93,5,11.72,0.04,g
58478.31534,1.063,0.085,20.17,5,11.23,0.02,r
58478.3158,1.063,0.085,20.17,5,11.24,0.02,r
58480.33272,1.067,0.091,22.77,5,11.41,0.02,r
58480.3332,1.067,0.091,22.77,5,11.4,0.02,r
58484.27909,1.076,0.106,27.64,5,12.32,0.03,g
58485.4558,1.079,0.111,28.8,5,11.94,0.03,r
58490.44576,1.095,0.135,32.12,5,12.39,0.03,r
58490.44721,1.095,0.135,32.12,5,12.4,0.03,r
58494.21817,1.109,0.155,33.2,5,12.64,0.02,r
58494.2191,1.109,0.155,33.2,5,12.66,0.02,r
58495.25579,1.114,0.161,33.33,5,12.72,0.03,r
58497.24013,1.122,0.172,33.44,5,13.34,0.03,g
58497.24106,1.122,0.172,33.44,5,13.34,0.03,g
58497.48228,1.123,0.173,33.44,5,12.85,0.02,r
58499.25946,1.132,0.184,33.37,5,13.41,0.03,g
58506.40891,1.169,0.227,32.23,5,13.38,0.03,r
58506.42941,1.169,0.228,32.23,5,13.37,0.04,r
58506.50856,1.169,0.228,32.21,5,13.38,0.03,r
58507.29398,1.174,0.233,32.03,5,13.48,0.05,r
58507.31035,1.174,0.233,32.03,5,13.5,0.04,r
58507.32683,1.174,0.233,32.02,5,13.51,0.04,r
58507.34344,1.174,0.233,32.02,5,13.51,0.04,r
58507.3604,1.174,0.234,32.02,5,13.52,0.04,r
58507.37813,1.174,0.234,32.01,5,13.53,0.03,r
58507.39558,1.174,0.234,32.01,5,13.6,0.04,r
58508.27477,1.179,0.239,31.8,5,13.46,0.03,r
58509.2533,1.185,0.246,31.56,5,13.59,0.04,r
58509.2654,1.185,0.246,31.56,5,13.59,0.04,r
58509.27873,1.185,0.246,31.56,5,13.59,0.04,r
58509.29135,1.185,0.246,31.55,5,13.6,0.04,r
58509.30404,1.185,0.246,31.55,5,13.59,0.04,r
58509.31688,1.186,0.246,31.55,5,13.6,0.04,r
58509.3305,1.186,0.246,31.54,5,13.61,0.04,r
58509.34452,1.186,0.246,31.54,5,13.61,0.04,r
58509.35842,1.186,0.247,31.54,5,13.59,0.04,r
58509.37147,1.186,0.247,31.53,5,13.6,0.04,r
58509.38446,1.186,0.247,31.53,5,13.68,0.05,r
58509.39733,1.186,0.247,31.53,5,13.66,0.05,r
58509.51415,1.187,0.248,31.5,5,13.62,0.04,r
58510.25277,1.191,0.252,31.31,5,13.68,0.04,r
58510.26813,1.191,0.253,31.31,5,13.67,0.04,r
58510.285,1.191,0.253,31.3,5,13.67,0.03,r
58510.30102,1.191,0.253,31.3,5,13.67,0.03,r
58510.31727,1.191,0.253,31.3,5,13.69,0.03,r
58510.33446,1.192,0.253,31.29,5,13.7,0.04,r
58510.3521,1.192,0.253,31.29,5,13.68,0.03,r
58510.36974,1.192,0.253,31.28,5,13.69,0.03,r
58510.38617,1.192,0.253,31.28,5,13.69,0.04,r
58510.40238,1.192,0.253,31.27,5,13.7,0.04,r
58511.29232,1.197,0.259,31.05,5,13.73,0.03,r
58511.29527,1.197,0.259,31.05,5,13.72,0.03,r
58511.29821,1.197,0.259,31.05,5,13.73,0.02,r
58511.30116,1.197,0.259,31.05,5,13.74,0.02,r
58511.30411,1.197,0.259,31.05,5,13.73,0.02,r
58511.30706,1.197,0.259,31.04,5,13.74,0.02,r
58511.31003,1.198,0.26,31.04,5,13.73,0.02,r
58511.31298,1.198,0.26,31.04,5,13.73,0.02,r
58511.31593,1.198,0.26,31.04,5,13.73,0.02,r
58511.31888,1.198,0.26,31.04,5,13.74,0.03,r
58511.32183,1.198,0.26,31.04,5,13.73,0.02,r
58511.32477,1.198,0.26,31.04,5,13.73,0.02,r
58511.32772,1.198,0.26,31.04,5,13.74,0.02,r
58511.33067,1.198,0.26,31.04,5,13.75,0.02,r
58511.33363,1.198,0.26,31.04,5,13.74,0.02,r
58511.33659,1.198,0.26,31.04,5,13.73,0.03,r
58511.33954,1.198,0.26,31.04,5,13.74,0.03,r
58511.34249,1.198,0.26,31.04,5,13.73,0.02,r
58511.34544,1.198,0.26,31.03,5,13.77,0.03,r
58511.34839,1.198,0.26,31.03,5,13.74,0.03,r
58511.35135,1.198,0.26,31.03,5,13.74,0.03,r
58511.3557,1.198,0.26,31.03,5,13.75,0.03,r
58511.35866,1.198,0.26,31.03,5,13.75,0.03,r
58511.36161,1.198,0.26,31.03,5,13.74,0.02,r
58511.36459,1.198,0.26,31.03,5,13.74,0.02,r
58511.36755,1.198,0.26,31.03,5,13.74,0.02,r
58511.37052,1.198,0.26,31.03,5,13.73,0.02,r
58511.37349,1.198,0.26,31.03,5,13.74,0.03,r
58511.37647,1.198,0.26,31.03,5,13.75,0.02,r
58511.37942,1.198,0.26,31.03,5,13.75,0.03,r
58511.38241,1.198,0.26,31.03,5,13.74,0.02,r
58511.38536,1.198,0.26,31.02,5,13.74,0.03,r
58511.38835,1.198,0.26,31.02,5,13.74,0.02,r
58511.3913,1.198,0.26,31.02,5,13.74,0.03,r
58511.39425,1.198,0.26,31.02,5,13.75,0.02,r
58511.39723,1.198,0.26,31.02,5,13.75,0.03,r
58511.40018,1.198,0.26,31.02,5,13.75,0.02,r
58511.40315,1.198,0.26,31.02,5,13.75,0.03,r
58511.40611,1.198,0.26,31.02,5,13.76,0.03,r
58511.40907,1.198,0.26,31.02,5,13.75,0.02,r
58511.41202,1.198,0.26,31.02,5,13.75,0.03,r
58511.415,1.198,0.26,31.02,5,13.78,0.03,r
58511.41795,1.198,0.26,31.02,5,13.76,0.03,r
58511.42093,1.198,0.26,31.02,5,13.76,0.03,r
58511.42388,1.198,0.26,31.01,5,13.76,0.03,r
58511.42685,1.198,0.26,31.01,5,13.77,0.03,r
58511.42982,1.198,0.26,31.01,5,13.76,0.03,r
58511.43277,1.198,0.26,31.01,5,13.77,0.03,r
58511.43572,1.198,0.26,31.01,5,13.78,0.03,r
58511.43867,1.198,0.26,31.01,5,13.77,0.03,r
58511.44163,1.198,0.26,31.01,5,13.8,0.03,r
58511.44459,1.198,0.26,31.01,5,13.77,0.03,r
58511.44754,1.198,0.26,31.01,5,13.79,0.03,r
58511.45049,1.198,0.26,31.01,5,13.79,0.03,r
58511.45344,1.198,0.26,31.01,5,13.8,0.03,r
58511.45638,1.198,0.26,31.01,5,13.77,0.03,r
58511.51937,1.199,0.261,30.99,5,14.28,0.04,g
58512.33416,1.204,0.266,30.78,5,13.85,0.02,r
58512.33711,1.204,0.266,30.78,5,13.82,0.02,r
