row,mjd,rh,delta,alpha,aper_arcsec,mag,mag_err,query_datetime
0,59490.31583329989,5.122281897269,5.54225730705374,9.7803,0,19.864164,0.17991276,2024-09-27 14:12:59
1,59488.25335650006,5.122775605193,5.51346065697983,9.9524,0,19.659512,0.10109445,2024-09-27 14:12:59
2,59474.34114579996,5.125280552233,5.3074424667816,10.8752,0,19.054775,0.12988262,2024-09-27 14:12:59
3,59471.27204860002,5.125639674138,5.25971081939429,11.0183,0,19.176752,0.15287142,2024-09-27 14:12:59
4,59471.23035879992,5.125644070997,5.2590496053525,11.0201,0,18.623318,0.10426786,2024-09-27 14:12:59
5,59469.35703699989,5.12582832854,5.22963492870232,11.0956,0,18.501501,0.075291,2024-09-27 14:12:59
6,59469.34832180012,5.125829124879,5.22949581317936,11.096,0,18.911406,0.09497602000000001,2024-09-27 14:12:59
7,59467.35729169985,5.125996276146,5.19798163496266,11.1662,0,18.687168,0.07629116,2024-09-27 14:12:59
8,59467.22762730019,5.126006141235,5.195895504095,11.1703,0,18.987762,0.09405021,2024-09-27 14:12:59
9,59465.333495399915,5.126136024236,5.16573646418923,11.2268,0,19.030363,0.09059605,2024-09-27 14:12:59
10,59464.39388890006,5.126190573172,5.15071824043125,11.2511,0,18.710022,0.09305669,2024-09-27 14:12:59
11,59464.264594899956,5.126197566468,5.14862163331912,11.2542,0,19.20782,0.084413126,2024-09-27 14:12:59
12,59460.35333329998,5.126350473978,5.08573882191659,11.3278,0,18.860472,0.10169137,2024-09-27 14:12:59
13,59458.33880789997,5.126384931081,5.05319716202127,11.3486,0,18.898771,0.07303517,2024-09-27 14:12:59
14,59458.28869209997,5.126385404313,5.05237645795274,11.349,0,19.444452,0.1088932,2024-09-27 14:12:59
15,59454.33896989981,5.126364075903,4.98847637248812,11.3548,0,19.21985,0.08823039,2024-09-27 14:12:59
16,59452.3387616002,5.126309111343,4.95612067914463,11.3399,0,19.505854,0.14767116,2024-09-27 14:12:59
17,59444.42498840019,5.125800485746,4.82892928264795,11.1595,0,19.845139,0.19279723,2024-09-27 14:12:59
18,59442.332071799785,5.125588244284,4.79565442632355,11.0784,0,19.932144,0.17170489,2024-09-27 14:12:59
19,59436.420648099855,5.12481313265,4.70317196713591,10.7709,0,20.265198,0.18198422,2024-09-27 14:12:59
20,59434.42063659988,5.124492148203,4.67248467524208,10.6401,0,20.555906,0.19932173,2024-09-27 14:12:59
21,59434.37319440022,5.124484173507,4.67175129799465,10.6368,0,19.84686,0.119790345,2024-09-27 14:12:59
22,59428.46372690005,5.123360117518,4.5834695917276,10.1695,0,20.066793,0.17044808,2024-09-27 14:12:59
