row,mjd,rh,delta,alpha,aper_arcsec,mag,mag_err,query_datetime
0,59490.31583329989,3.650568014666,4.13364695268153,12.9524,0,19.864164,0.17991276,2024-09-27 14:40:13
1,59488.25335650006,3.651123374257,4.15945871035068,12.7077,0,19.659512,0.10109445,2024-09-27 14:40:13
2,59474.34114579996,3.654488956691,4.31958949275498,10.882,0,19.054775,0.12988262,2024-09-27 14:40:13
3,59471.27204860002,3.65514204993,4.35147045366538,10.4428,0,19.176752,0.15287142,2024-09-27 14:40:13
4,59471.23035879992,3.655150698716,4.35189656856038,10.4366,0,18.623318,0.10426786,2024-09-27 14:40:13
5,59469.35703699989,3.655533168438,4.37067859889279,10.1631,0,18.501501,0.075291,2024-09-27 14:40:13
6,59469.34832180012,3.655534919617,4.37076628959868,10.1618,0,18.911406,0.09497602000000001,2024-09-27 14:40:13
7,59467.35729169985,3.655928144009,4.39018666161067,9.8662,0,18.687168,0.07629116,2024-09-27 14:40:13
8,59467.22762730019,3.655953279959,4.39144346817202,9.8465,0,18.987762,0.09405021,2024-09-27 14:40:13
9,59465.333495399915,3.656313875829,4.40933730406579,9.5611,0,19.030363,0.09059605,2024-09-27 14:40:13
10,59464.39388890006,3.656488176301,4.41801014567479,9.4181,0,18.710022,0.09305669,2024-09-27 14:40:13
11,59464.264594899956,3.656511923203,4.41921092871273,9.398,0,19.20782,0.084413126,2024-09-27 14:40:13
12,59460.35333329998,3.657203106491,4.45383186368487,8.7922,0,18.860472,0.10169137,2024-09-27 14:40:13
13,59458.33880789997,3.657538566349,4.47075337939984,8.4743,0,18.898771,0.07303517,2024-09-27 14:40:13
14,59458.28869209997,3.657546733578,4.47117121341806,8.4662,0,19.444452,0.1088932,2024-09-27 14:40:13
15,59454.33896989981,3.658163208272,4.50247029795862,7.8328,0,19.21985,0.08823039,2024-09-27 14:40:13
16,59452.3387616002,3.658454905439,4.5173860471091,7.5072,0,19.505854,0.14767116,2024-09-27 14:40:13
17,59444.42498840019,3.659473786769,4.57013147367248,6.1916,0,19.845139,0.19279723,2024-09-27 14:40:13
18,59442.332071799785,3.659707133072,4.58240654676566,5.8367,0,19.932144,0.17170489,2024-09-27 14:40:13
19,59436.420648099855,3.660284576713,4.6131180637102,4.8222,0,20.265198,0.18198422,2024-09-27 14:40:13
20,59434.42063659988,3.660452632387,4.62218313825327,4.4751,0,20.555906,0.19932173,2024-09-27 14:40:13
21,59434.37319440022,3.660456451129,4.62239652738837,4.4667,0,19.84686,0.119790345,2024-09-27 14:40:13
22,59428.46372690005,3.66087132782,4.64513561492301,3.4326,0,20.066793,0.17044808,2024-09-27 14:40:13
