row,mjd,rh,delta,alpha,aper_arcsec,mag,mag_err,query_datetime
0,59490.31583329989,18.86658134505,17.8667604355985,0.1287,0,19.864164,0.17991276,2024-09-27 14:37:28
1,59488.25335650006,18.86666657903,17.8671309781832,0.1868,0,19.659512,0.10109445,2024-09-27 14:37:28
2,59474.34114579996,18.86720537365,17.9030978247827,0.8922,0,19.054775,0.12988262,2024-09-27 14:37:28
3,59471.27204860002,18.86731576911,17.9186889320045,1.0494,0,19.176752,0.15287142,2024-09-27 14:37:28
4,59471.23035879992,18.86731724766,17.9189254327802,1.0515,0,18.623318,0.10426786,2024-09-27 14:37:28
5,59469.35703699989,18.8673831037,17.9297653101207,1.146,0,18.501501,0.075291,2024-09-27 14:37:28
6,59469.34832180012,18.86738340742,17.9298183808797,1.1464,0,18.911406,0.09497602000000001,2024-09-27 14:37:28
7,59467.35729169985,18.86745214821,17.9424365873973,1.2456,0,18.687168,0.07629116,2024-09-27 14:37:28
8,59467.22762730019,18.86745658033,17.9433113806215,1.2521,0,18.987762,0.09405021,2024-09-27 14:37:28
9,59465.333495399915,18.86752070321,17.9563871893427,1.3449,0,19.030363,0.09059605,2024-09-27 14:37:28
10,59464.39388890006,18.86755208066,17.9632408562247,1.3903,0,18.710022,0.09305669,2024-09-27 14:37:28
11,59464.264594899956,18.86755637595,17.9642131833941,1.3966,0,19.20782,0.084413126,2024-09-27 14:37:28
12,59460.35333329998,18.86768375269,17.9953985465149,1.5814,0,18.860472,0.10169137,2024-09-27 14:37:28
13,59458.33880789997,18.86774742636,18.0130098704089,1.6737,0,18.898771,0.07303517,2024-09-27 14:37:28
14,59458.28869209997,18.86774899364,18.0134671023284,1.676,0,19.444452,0.1088932,2024-09-27 14:37:28
15,59454.33896989981,18.86786995805,18.0509518256749,1.8503,0,19.21985,0.08823039,2024-09-27 14:37:28
16,59452.3387616002,18.86792929193,18.0713550825797,1.9352,0,19.505854,0.14767116,2024-09-27 14:37:28
17,59444.42498840019,18.868151368,18.160777165612,2.2461,0,19.845139,0.19279723,2024-09-27 14:37:28
18,59442.332071799785,18.86820671788,18.1866146722984,2.3213,0,19.932144,0.17170489,2024-09-27 14:37:28
19,59436.420648099855,18.86835542036,18.2640273623893,2.5165,0,20.265198,0.18198422,2024-09-27 14:37:28
20,59434.42063659988,18.86840317978,18.2916079391495,2.5765,0,20.555906,0.19932173,2024-09-27 14:37:28
21,59434.37319440022,18.86840429703,18.2922749893761,2.5779,0,19.84686,0.119790345,2024-09-27 14:37:28
22,59428.46372690005,18.86853779081,18.3774094260438,2.7365,0,20.066793,0.17044808,2024-09-27 14:37:28
