row,mjd,rh,delta,alpha,aper_arcsec,mag,mag_err,query_datetime
0,59490.31583329989,10.91362768878,10.8820835412584,5.2618,0,19.864164,0.17991276,2024-09-27 14:33:53
1,59488.25335650006,10.90875997875,10.9117356410437,5.2612,0,19.659512,0.10109445,2024-09-27 14:33:53
2,59474.34114579996,10.87586473488,11.1079305127046,5.0996,0,19.054775,0.12988262,2024-09-27 14:33:53
3,59471.27204860002,10.86859371806,11.1496705987977,5.0286,0,19.176752,0.15287142,2024-09-27 14:33:53
4,59471.23035879992,10.86849491523,11.1502384057074,5.0275,0,18.623318,0.10426786,2024-09-27 14:33:53
5,59469.35703699989,10.86405426464,11.1752858705796,4.9782,0,18.501501,0.075291,2024-09-27 14:33:53
6,59469.34832180012,10.86403360107,11.1754035770973,4.978,0,18.911406,0.09497602000000001,2024-09-27 14:33:53
7,59467.35729169985,10.85931183293,11.2016830858591,4.9206,0,18.687168,0.07629116,2024-09-27 14:33:53
8,59467.22762730019,10.85900425645,11.2034033522804,4.9166,0,18.987762,0.09405021,2024-09-27 14:33:53
9,59465.333495399915,10.85451016032,11.2279855273535,4.8573,0,19.030363,0.09059605,2024-09-27 14:33:53
10,59464.39388890006,10.85228009098,11.2400301657561,4.8262,0,18.710022,0.09305669,2024-09-27 14:33:53
11,59464.264594899956,10.85197318588,11.2417060768263,4.8217,0,19.20782,0.084413126,2024-09-27 14:33:53
12,59460.35333329998,10.8426847693,11.2906937559656,4.6805,0,18.860472,0.10169137,2024-09-27 14:33:53
13,59458.33880789997,10.83789747798,11.3151751984081,4.6008,0,18.898771,0.07303517,2024-09-27 14:33:53
14,59458.28869209997,10.83777835542,11.3157860137624,4.5987,0,19.444452,0.1088932,2024-09-27 14:33:53
15,59454.33896989981,10.8283858356,11.3621081884564,4.4295,0,19.21985,0.08823039,2024-09-27 14:33:53
16,59452.3387616002,10.82362609714,11.3846959520658,4.3376,0,19.505854,0.14767116,2024-09-27 14:33:53
17,59444.42498840019,10.8047732434,11.4677789900162,3.9354,0,19.845139,0.19279723,2024-09-27 14:33:53
18,59442.332071799785,10.79978170657,11.4879924122194,3.8193,0,19.932144,0.17170489,2024-09-27 14:33:53
19,59436.420648099855,10.78567049789,11.5406551173366,3.4716,0,20.265198,0.18198422,2024-09-27 14:33:53
20,59434.42063659988,10.78089202572,11.5569463007053,3.3477,0,20.555906,0.19932173,2024-09-27 14:33:53
21,59434.37319440022,10.7807786497,11.5573320526434,3.3447,0,19.84686,0.119790345,2024-09-27 14:33:53
22,59428.46372690005,10.76664699988,11.600604200058,2.9619,0,20.066793,0.17044808,2024-09-27 14:33:53
