mjd,rh,delta,alpha,aper_arcsec,mag,mag_err,filter
58071.38375,2.678,1.774,10.603,0,18.383,0.006,r
58073.46199,2.68,1.775,10.462,0,18.414,0.078,r
58078.37081,2.685,1.78,10.396,0,18.41,0.028,r
58088.38558,2.695,1.811,11.347,0,18.446,0.059,r
58095.29556,2.701,1.846,12.594,0,18.51,0.025,r
58096.20664,2.702,1.852,12.778,0,18.558,0.034,r
58097.26169,2.702,1.858,12.996,0,18.508,0.03,r
58099.28679,2.704,1.872,13.422,0,18.641,0.033,r
58102.21164,2.707,1.893,14.05,0,18.653,0.051,r
58107.2515,2.711,1.933,15.133,0,19.244,0.039,g
58116.19023,2.717,2.016,16.937,0,19.422,0.086,g
58422.52413,2.587,2.83,20.489,0,17.41,0.031,r
58422.49931,2.587,2.831,20.486,0,17.933,0.055,g
58423.5051,2.586,2.818,20.598,0,17.347,0.028,r
58423.48998,2.586,2.818,20.596,0,17.848,0.037,g
58425.47786,2.583,2.791,20.811,0,17.224,0.023,r
58425.5224,2.583,2.791,20.816,0,17.75,0.024,g
58426.53058,2.581,2.777,20.922,0,17.209,0.019,r
58426.46069,2.581,2.778,20.914,0,17.655,0.02,g
58429.54626,2.577,2.737,21.226,0,17.178,0.028,r
58429.48166,2.577,2.737,21.22,0,17.618,0.022,g
58430.47944,2.575,2.724,21.316,0,17.179,0.021,r
58430.54006,2.575,2.723,21.322,0,17.615,0.028,g
58438.52183,2.562,2.612,22.01,0,17.379,0.047,r
58438.47128,2.562,2.613,22.006,0,17.84,0.027,g
58439.50875,2.561,2.598,22.084,0,17.853,0.053,g
58440.54411,2.559,2.584,22.158,0,17.51,0.036,r
58440.48003,2.559,2.585,22.154,0,17.977,0.054,g
58441.55406,2.557,2.569,22.229,0,17.596,0.069,r
58441.49234,2.557,2.57,22.225,0,17.958,0.031,g
58443.45875,2.554,2.542,22.353,0,17.636,0.067,r
58447.49289,2.548,2.484,22.582,0,17.877,0.035,r
58448.52285,2.546,2.47,22.633,0,17.946,0.045,r
58449.48609,2.544,2.456,22.677,0,18,0.05,r
58450.47323,2.543,2.441,22.719,0,18.602,0.047,g
58464.51993,2.518,2.237,22.931,0,18.858,0.042,g
58465.50128,2.517,2.222,22.916,0,18.392,0.028,r
58465.52343,2.517,2.222,22.916,0,18.864,0.032,g
58467.5428,2.513,2.193,22.87,0,18.423,0.043,r
58468.5025,2.511,2.179,22.842,0,18.423,0.028,r
58468.45061,2.511,2.179,22.844,0,18.9,0.032,g
58469.50213,2.51,2.164,22.808,0,18.865,0.042,g
58472.45615,2.504,2.121,22.68,0,18.365,0.038,r
58472.49001,2.504,2.121,22.678,0,18.885,0.055,g
58474.50028,2.501,2.092,22.566,0,18.378,0.076,r
58475.52223,2.499,2.077,22.5,0,18.776,0.07,g
58476.51484,2.497,2.063,22.432,0,18.29,0.041,r
58480.45707,2.49,2.007,22.106,0,17.921,0.052,r
58480.50052,2.49,2.007,22.102,0,18.373,0.089,g
58481.52572,2.488,1.992,22.002,0,17.878,0.025,r
58487.43544,2.477,1.911,21.307,0,17.492,0.027,r
58487.46126,2.477,1.91,21.303,0,17.991,0.029,g
58491.45878,2.469,1.856,20.707,0,18.095,0.05,g
58494.45822,2.463,1.817,20.191,0,17.681,0.038,r
58494.47813,2.463,1.817,20.187,0,18.179,0.029,g
58502.42723,2.448,1.718,18.522,0,17.801,0.062,r
58503.3759,2.446,1.707,18.294,0,17.777,0.024,r
58505.32895,2.442,1.684,17.806,0,17.71,0.049,r
58506.35024,2.44,1.672,17.54,0,17.768,0.027,r
58509.51669,2.434,1.637,16.67,0,18.26,0.125,g
58511.29657,2.43,1.618,16.154,0,17.725,0.004,r
58512.33375,2.428,1.607,15.843,0,17.667,0.046,r
58513.36728,2.426,1.597,15.526,0,17.71,0.032,r
58514.28697,2.424,1.587,15.24,0,17.691,0.008,r
58522.31252,2.408,1.514,12.557,0,17.641,0.004,r
