row,mjd,rh,delta,alpha,aper_arcsec,mag,mag_err,query_datetime
0,59490.31583329989,2.751207442834,2.71341472208371,21.0903,0,19.864164,0.17991276,2024-09-27 14:12:35
1,59488.25335650006,2.751200487343,2.73879949848548,21.0169,0,19.659512,0.10109445,2024-09-27 14:12:35
2,59474.34114579996,2.750313438832,2.9060565400353,20.2302,0,19.054775,0.12988262,2024-09-27 14:12:35
3,59471.27204860002,2.749920796663,2.94181025682393,19.9946,0,19.176752,0.15287142,2024-09-27 14:12:35
4,59471.23035879992,2.749914973221,2.94229877884281,19.9911,0,18.623318,0.10426786,2024-09-27 14:12:35
5,59469.35703699989,2.749639749495,2.96383796981043,19.8375,0,18.501501,0.075291,2024-09-27 14:12:35
6,59469.34832180012,2.749638407135,2.9639397412426,19.8368,0,18.911406,0.09497602000000001,2024-09-27 14:12:35
7,59467.35729169985,2.749316704544,2.98663416219576,19.6651,0,18.687168,0.07629116,2024-09-27 14:12:35
8,59467.22762730019,2.74929471566,2.98812744482191,19.6533,0,18.987762,0.09405021,2024-09-27 14:12:35
9,59465.333495399915,2.748959032688,3.00946270844493,19.4823,0,19.030363,0.09059605,2024-09-27 14:12:35
10,59464.39388890006,2.748782463368,3.01995747561675,19.3948,0,18.710022,0.09305669,2024-09-27 14:12:35
11,59464.264594899956,2.748757645056,3.02142484607958,19.3823,0,19.20782,0.084413126,2024-09-27 14:12:35
12,59460.35333329998,2.747947242811,3.06447608477166,18.9989,0,18.860472,0.10169137,2024-09-27 14:12:35
13,59458.33880789997,2.747484813504,3.0862392505762,18.7904,0,18.898771,0.07303517,2024-09-27 14:12:35
14,59458.28869209997,2.747472919402,3.08678620053713,18.785,0,19.444452,0.1088932,2024-09-27 14:12:35
15,59454.33896989981,2.746475980087,3.12854381926718,18.3563,0,19.21985,0.08823039,2024-09-27 14:12:35
16,59452.3387616002,2.745926275326,3.14923372449474,18.1297,0,19.505854,0.14767116,2024-09-27 14:12:35
17,59444.42498840019,2.743456099112,3.22788044978221,17.1762,0,19.845139,0.19279723,2024-09-27 14:12:35
18,59442.332071799785,2.742724079086,3.24781917865921,16.9096,0,19.932144,0.17170489,2024-09-27 14:12:35
19,59436.420648099855,2.740478846321,3.30194073008292,16.1282,0,20.265198,0.18198422,2024-09-27 14:12:35
20,59434.42063659988,2.739659870558,3.31951674204603,15.8546,0,20.555906,0.19932173,2024-09-27 14:12:35
21,59434.37319440022,2.739640079627,3.31993898495822,15.848,0,19.84686,0.119790345,2024-09-27 14:12:35
22,59428.46372690005,2.737043096549,3.3695199656284,15.0157,0,20.066793,0.17044808,2024-09-27 14:12:35
